id,name,position,team,adpStandard,adpHalfPpr,adpPpr
younghoe-koo-k-2,Younghoe Koo,K,,,,225.0
los-angeles-chargers-dst-dst-lac-2,Los Angeles Chargers DST,DST,LAC,,,229.0
jason-myers,Jason Myers,K,SEA,,,230.0
seattle-seahawks-dst-dst-sea-2,Seattle Seahawks DST,DST,SEA,,,231.0
dallas-cowboys-dst-dst-dal-2,Dallas Cowboys DST,DST,DAL,,,232.0
matt-gay-k-lv-2,Matt Gay,K,LV,,,236.0
new-york-giants-dst-dst-nyg-2,New York Giants DST,DST,NYG,,,237.0
new-york-jets-dst-dst-nyj-2,New York Jets DST,DST,NYJ,,,241.0
washington-commanders-dst-dst-was-2,Washington Commanders DST,DST,WAS,,,242.0
new-england-patriots-dst-dst-ne-2,New England Patriots DST,DST,NE,,,246.0
brandon-mcmanus-k-gb-2,Brandon McManus,K,GB,,,255.0
jake-moody-k-was-2,Jake Moody,K,WAS,,,259.0
will-reichard-k-min-2,Will Reichard,K,MIN,,,261.0
miami-dolphins-dst-dst-mia-2,Miami Dolphins DST,DST,MIA,,,267.0
joshua-karty-k-ari-2,Joshua Karty,K,ARI,,,280.0
amari-cooper,Amari Cooper,WR,,196.0,,
arizona-cardinals-dst,Arizona Cardinals DST,DST,ARI,201.0,,
baltimore-ravens-dst,Baltimore Ravens DST,DST,BAL,129.0,,
brandon-aubrey,Brandon Aubrey,K,DAL,109.0,,
brandon-mcmanus,Brandon McManus,K,GB,219.0,,
buffalo-bills-dst,Buffalo Bills DST,DST,BUF,142.0,,
cam-little,Cam Little,K,JAX,211.0,,
cameron-dicker,Cameron Dicker,K,LAC,125.0,,
chase-mclaughlin,Chase McLaughlin,K,TB,168.0,,
chicago-bears-dst,Chicago Bears DST,DST,CHI,173.0,,
chris-boswell,Chris Boswell,K,PIT,151.0,,
cincinnati-bengals-dst,Cincinnati Bengals DST,DST,CIN,209.0,,
cleveland-browns-dst,Cleveland Browns DST,DST,CLE,230.0,,
dallas-cowboys-dst,Dallas Cowboys DST,DST,DAL,270.0,,
daniel-carlson,Daniel Carlson,K,LV,225.0,,
denver-broncos-dst,Denver Broncos DST,DST,DEN,101.0,,
detroit-lions-dst,Detroit Lions DST,DST,DET,176.0,,
evan-mcpherson,Evan McPherson,K,CIN,200.0,,
green-bay-packers-dst,Green Bay Packers DST,DST,GB,162.0,,
harrison-butker,Harrison Butker,K,KC,161.0,,
houston-texans-dst,Houston Texans DST,DST,HOU,150.0,,
jake-bates,Jake Bates,K,DET,136.0,,
jake-elliott,Jake Elliott,K,PHI,194.0,,
jake-moody,Jake Moody,K,WAS,280.0,,
jason-sanders,Jason Sanders,K,NYG,243.0,,
joshua-karty,Joshua Karty,K,ARI,266.0,,
kaimi-fairbairn,Ka'imi Fairbairn,K,HOU,154.0,,
kansas-city-chiefs-dst,Kansas City Chiefs DST,DST,KC,164.0,,
los-angeles-chargers-dst,Los Angeles Chargers DST,DST,LAC,190.0,,
los-angeles-rams-dst,Los Angeles Rams DST,DST,LAR,256.0,,
matt-gay,Matt Gay,K,LV,215.0,,
miami-dolphins-dst,Miami Dolphins DST,DST,MIA,252.0,,
minnesota-vikings-dst,Minnesota Vikings DST,DST,MIN,140.0,,
new-england-patriots-dst,New England Patriots DST,DST,NE,267.0,,
new-york-giants-dst,New York Giants DST,DST,NYG,254.0,,
new-york-jets-dst,New York Jets DST,DST,NYJ,202.0,,
philadelphia-eagles-dst,Philadelphia Eagles DST,DST,PHI,100.0,,
pittsburgh-steelers-dst,Pittsburgh Steelers DST,DST,PIT,126.0,,
san-francisco-49ers-dst,San Francisco 49ers DST,DST,SF,163.0,,
seattle-seahawks-dst,Seattle Seahawks DST,DST,SEA,185.0,,
tampa-bay-buccaneers-dst,Tampa Bay Buccaneers DST,DST,TB,277.0,,
tyler-bass,Tyler Bass,K,BUF,165.0,,
tyler-loop,Tyler Loop,K,BAL,198.0,,
washington-commanders-dst,Washington Commanders DST,DST,WAS,195.0,,
wil-lutz,Wil Lutz,K,DEN,167.0,,
will-reichard,Will Reichard,K,MIN,260.0,,
younghoe-koo,Younghoe Koo,K,,212.0,,
