Updated 03/13/26 at 11:32pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue
Kendre Miller,RB62,RB,NOS,2775,23.8,No,RB66,2158
Isiah Pacheco,RB64,RB,DET,2768,27.0,No,RB60,2286
Alvin Kamara,RB65,RB,NOS,2763,30.6,No,RB62,2214
Cedric Tillman,WR90,WR,CLE,2732,25.9,No,WR90,2227
Jake Tonges,TE33,TE,SFO,2722,26.7,No,TE30,2367
Demario Douglas,WR91,WR,NEP,2710,25.3,No,WR88,2236
Chris Bell,WR92,WR,FA,2706,-1.0,Yes,WR99,1937
2027 Mid 3rd,,PI,,2705,,,,2455
Malik Washington,WR93,WR,MIA,2693,25.2,No,WR87,2265
2026 Mid 3rd,,PI,,2692,,,,2295
Dalton Schultz,TE34,TE,HOU,2682,29.7,No,TE34,2275
Kaytron Allen,RB66,RB,FA,2670,-1.0,Yes,RB77,1878
Xavier Legette,WR94,WR,CAR,2647,25.1,No,WR92,2139
Trevor Etienne,RB67,RB,CAR,2624,21.7,No,RB64,2183
2028 Early 3rd,,PI,,2617,,,,2202
Pat Freiermuth,TE35,TE,PIT,2613,27.4,No,TE35,2201
Ja'Tavion Sanders,TE36,TE,CAR,2588,23.0,No,TE36,2135
Rashod Bateman,WR95,WR,BAL,2584,26.3,No,WR94,2098
Jaydon Blue,RB68,RB,DAL,2572,22.2,No,RB67,2086
2027 Late 3rd,,PI,,2558,,,,2249
Dont'e Thornton,WR96,WR,LVR,2557,23.3,No,WR93,2129
DJ Giddens,RB69,RB,IND,2535,22.5,No,RB68,2059
2026 Late 3rd,,PI,,2534,,,,2158
Chris Rodriguez,RB70,RB,JAC,2529,25.5,No,RB71,2008
Colby Parkinson,TE37,TE,LAR,2521,27.2,No,TE37,2118
Isaiah Davis,RB71,RB,NYJ,2521,24.0,No,RB73,1992
Emanuel Wilson,RB72,RB,GBP,2517,26.8,No,RB70,2025
Ja'Kobi Lane,WR97,WR,FA,2504,-1.0,Yes,WR108,1828
James Conner,RB73,RB,ARI,2492,30.8,No,RB69,2054
Cole Kmet,TE38,TE,CHI,2491,27.0,No,TE39,2061
Germie Bernard,WR98,WR,FA,2481,-1.0,Yes,WR105,1854
Ben Sinnott,TE39,TE,WAS,2479,23.7,No,TE38,2088
Jalen Nailor,WR99,WR,LVR,2448,27.0,No,WR91,2149
Ray Davis,RB74,RB,BUF,2440,26.3,No,RB75,1968
Jalen Milroe,QB30,QB,SEA,2415,23.2,No,QB36,2507
Trinidad Chambliss,QB31,QB,FA,2414,-1.0,Yes,QB37,2203
Darnell Mooney,WR100,WR,FA,2412,28.4,No,WR98,1940
2028 Mid 3rd,,PI,,2408,,,,2080
LeQuint Allen,RB75,RB,JAC,2399,21.6,No,RB72,1999
Jaylin Lane,WR101,WR,WAS,2391,23.9,No,WR101,1910
Aaron Jones,RB76,RB,MIN,2378,31.3,No,RB74,1981
Ryan Flournoy,WR102,WR,DAL,2351,26.4,No,WR100,1911
Darnell Washington,TE40,TE,PIT,2349,24.6,No,TE40,1993
Christian Kirk,WR103,WR,HOU,2325,29.3,No,WR97,1982
Tua Tagovailoa,QB32,QB,MIA,2311,28.0,No,QB34,2719
Najee Harris,RB77,RB,LAC,2309,28.0,No,RB76,1907
